residence,age_group,male_n,female_n,person_n,male_pct,female_pct,person_pct
Rural,0-1,3418,2547,5965,4.7,5.0,4.8
Rural,1-4,292,232,524,0.4,0.5,0.4
Rural,0-4,3710,2779,6489,5.1,5.4,5.2
Rural,05-14,709,552,1261,1.0,1.1,1.0
Rural,15-29,3929,2533,6462,5.4,5.0,5.2
Rural,30-34,2251,884,3135,3.1,1.7,2.5
Rural,35-44,6177,2305,8482,8.5,4.5,6.9
Rural,45-54,8491,3748,12239,11.7,7.3,9.9
Rural,55-69,20986,14176,35162,28.9,27.7,28.4
Rural,70+,26401,24162,50563,36.3,47.2,40.8
Urban,0-1,605,504,1109,2.9,3.5,3.1
Urban,1-4,69,43,112,0.3,0.3,0.3
Urban,0-4,674,547,1221,3.2,3.8,3.4
Urban,05-14,149,137,286,0.7,0.9,0.8
Urban,15-29,993,591,1584,4.7,4.1,4.5
Urban,30-34,703,259,962,3.4,1.8,2.7
Urban,35-44,1888,709,2597,9.0,4.9,7.3
Urban,45-54,2796,1184,3980,13.4,8.1,11.2
Urban,55-69,6442,4312,10754,30.8,29.6,30.3
Urban,70+,7286,6833,14119,34.8,46.9,39.8
