stratum,stratum_type,sex,cardiovascular,respiratory_infections,tuberculosis,malaria,hiv_aids,malignant_neoplasms,diabetes_mellitus,respiratory_diseases
India,National,Male,32.4,8.9,2.8,0.1,0.1,6.0,3.1,5.6
India,National,Female,29.1,9.9,2.0,0.1,0.1,6.9,4.1,6.0
India,National,Person,31.0,9.3,2.5,0.1,0.1,6.4,3.5,5.7
EAG and Assam,State Group,Male,27.2,9.5,3.0,0.1,0.1,5.2,2.4,6.1
EAG and Assam,State Group,Female,24.6,11.0,2.2,0.1,0.1,5.8,3.1,6.2
EAG and Assam,State Group,Person,26.1,10.2,2.6,0.1,0.1,5.5,2.7,6.2
Other States,State Group,Male,35.2,8.5,2.7,0.1,0.1,6.4,3.5,5.3
Other States,State Group,Female,31.5,9.3,1.9,0.1,0.1,7.5,4.8,5.8
Other States,State Group,Person,33.6,8.8,2.4,0.1,0.1,6.8,4.0,5.5
Rural,Residence,Male,31.4,8.5,2.8,0.2,0.1,5.9,3.0,5.9
Rural,Residence,Female,28.4,9.5,2.0,0.1,0.1,6.9,3.8,6.2
Rural,Residence,Person,30.1,8.9,2.5,0.1,0.1,6.3,3.3,6.0
Urban,Residence,Male,36.1,10.0,2.5,0.1,0.1,6.4,3.6,4.5
Urban,Residence,Female,31.6,11.4,1.7,0.1,0.1,7.0,5.1,5.1
Urban,Residence,Person,34.2,10.5,2.2,0.1,0.1,6.6,4.2,4.7
