residence,rank,cause,male_pct,female_pct,person_pct
Rural,1,Cardiovascular diseases,31.4,28.4,30.1
Rural,2,Respiratory infections,8.5,9.5,8.9
Rural,3,Malignant and other Neoplasms,5.9,6.9,6.3
Rural,4,Respiratory diseases,5.9,6.2,6.0
Rural,5,Fever of unknown origin,4.4,6.3,5.2
Rural,6,Digestive diseases,6.6,3.2,5.2
Rural,7,Unintentional injuries: Other Than Motor Vehicle Accidents,3.9,3.8,3.9
Rural,8,Diabetes mellitus,3.0,3.8,3.3
Rural,9,Unintentional injuries: Motor Vehicle Accidents,4.2,1.3,3.0
Rural,10,Ill-defined/All other symptoms signs and abnormal clinical findings,8.8,13.6,10.8
Urban,1,Cardiovascular diseases,36.1,31.6,34.2
Urban,2,Respiratory infections,10.0,11.4,10.5
Urban,3,Malignant and other Neoplasms,6.4,7.0,6.6
Urban,4,Digestive diseases,7.2,3.3,5.6
Urban,5,Respiratory diseases,4.5,5.1,4.7
Urban,6,Diabetes mellitus,3.6,5.1,4.2
Urban,7,Fever of unknown origin,3.1,4.9,3.9
Urban,8,Genito-urinary diseases,3.7,3.0,3.4
Urban,9,Unintentional injuries: Other Than Motor Vehicle Accidents,3.1,3.2,3.1
Urban,10,Ill-defined/All other symptoms signs and abnormal clinical findings,7.5,12.4,9.5
