geography,rank,cause,male_pct,female_pct,person_pct
India,1,Injuries,18.8,19.6,19.2
India,2,Other Non-Communicable Diseases,18.3,17.1,17.8
India,3,Pneumonia,15.8,16.0,15.9
India,4,Fever of unknown origin,10.5,10.5,10.5
India,5,Diarrhoeal diseases,9.1,8.4,8.8
India,6,Congenital anomalies,4.7,5.5,5.0
India,7,Other infectious and parasitic diseases,4.4,4.4,4.4
India,8,Meningitis/encephalitis,2.8,2.9,2.8
India,9,Measles,0.8,1.5,1.1
India,10,Ill-defined or cause unknown,9.4,10.9,10.1
EAG and Assam,1,Injuries,20.4,22.8,21.5
EAG and Assam,2,Pneumonia,18.3,14.6,16.6
EAG and Assam,3,Other Non-Communicable Diseases,14.1,16.5,15.2
EAG and Assam,4,Diarrhoeal diseases,11.5,9.5,10.6
EAG and Assam,5,Fever of unknown origin,8.9,7.0,8.0
EAG and Assam,6,Other infectious and parasitic diseases,4.7,5.1,4.9
EAG and Assam,7,Congenital anomalies,4.2,3.8,4.0
EAG and Assam,8,Meningitis/encephalitis,3.1,3.8,3.4
EAG and Assam,9,Measles,1.0,1.9,1.4
EAG and Assam,10,Ill-defined or cause unknown,7.3,11.4,9.2
Other States,1,Other Non-Communicable Diseases,22.9,17.9,20.9
Other States,2,Injuries,17.1,15.4,16.4
Other States,3,Pneumonia,12.9,17.9,15.0
Other States,4,Fever of unknown origin,12.4,15.4,13.6
Other States,5,Diarrhoeal diseases,6.5,6.8,6.6
Other States,6,Congenital anomalies,5.3,7.7,6.3
Other States,7,Other infectious and parasitic diseases,4.1,3.4,3.8
Other States,8,Meningitis/encephalitis,2.4,1.7,2.1
Other States,9,Prematurity & low birth weight,2.4,0.9,1.7
Other States,10,Ill-defined or cause unknown,11.8,10.3,11.1
Rural,1,Injuries,19.9,20.3,20.0
Rural,2,Other Non-Communicable Diseases,18.5,16.8,17.7
Rural,3,Pneumonia,15.4,16.8,16.0
Rural,4,Fever of unknown origin,11.3,9.1,10.3
Rural,5,Diarrhoeal diseases,8.9,9.1,9.0
Rural,6,Congenital anomalies,4.5,4.7,4.6
Rural,7,Other infectious and parasitic diseases,3.4,4.3,3.8
Rural,8,Meningitis/encephalitis,2.4,3.4,2.9
Rural,9,Measles,1.0,1.7,1.3
Rural,10,Ill-defined or cause unknown,9.2,10.8,9.9
Urban,1,Other Non-Communicable Diseases,17.4,18.6,17.9
Urban,2,Injuries,14.5,16.3,15.2
Urban,3,Pneumonia,17.4,11.6,15.2
Urban,4,Fever of unknown origin,7.2,18.6,11.6
Urban,5,Diarrhoeal diseases,10.1,4.7,8.0
Urban,6,Congenital anomalies,5.8,9.3,7.1
Urban,7,Other infectious and parasitic diseases,8.7,4.7,7.1
Urban,8,Meningitis/encephalitis,4.3,0.0,2.7
Urban,9,Prematurity & low birth weight,2.9,0.0,1.8
Urban,10,Ill-defined or cause unknown,10.1,11.6,10.7
